No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),% Karbo,% Protein,% Lemak,Waktu Makan,Kelompok Makanan,Mentah/Olahan
320,CP076,"Tempe kedelai murni, goreng","10,4","24,5","26,6","4,2",16.9,39.8,43.3,B/L/D,Kacang,Olahan
321,CP077,"Tempe kedelai murni, mentah","13,5","20,8","8,8","1,4",31.3,48.3,20.4,B/L/D,Kacang,Olahan
322,CP078,Tempe koro benguk,"23,2","10,2","1,3",-,66.9,29.4,3.7,B/L/D,Kacang,Olahan
323,CP079,Tempe lamtoro,"21,3","10,7","0,5","7,1",65.5,32.9,1.5,B/L/D,Kacang,Olahan
324,CP080,Tempe lamtoro var. gung dengan kulit,"19,6","11,7","2,3","7,6",58.3,34.8,6.8,B/L/D,Kacang,Olahan
325,CP081,Tempe lamtoro var. gung tanpa kulit,"13,0","18,0","0,8","1,3",40.9,56.6,2.5,B/L/D,Kacang,Olahan
326,CP082,Tempe pasar,"9,1","14,0","7,7","1,4",29.5,45.5,25.0,B/L/D,Kacang,Olahan
327,CP083,Tempe pasar goreng,"7,8","20,0","28,0","3,4",14.0,35.8,50.2,B/L/D,Kacang,Olahan
331,CR001,"Kacang arab, kering","60,2","23,8","1,4","17,4",70.5,27.9,1.6,B/L/D,Kacang,Tunggal
332,CR002,"Kacang babi, kering","51,3","30,4","3,2","4,5",60.4,35.8,3.8,L/D,Kacang,Tunggal
333,CR003,"Kacang belimbing (kecipir), kering","34,1","34,4","16,9","10,7",39.9,40.3,19.8,B/L/D,Kacang,Tunggal
334,CR004,"Kacang beracun, segar","21,6","4,4","1,5",-,78.5,16.0,5.5,B/L/D,Kacang,Tunggal
335,CR005,"Kacang bogor, kering","65,0","16,0","6,0","26,3",74.7,18.4,6.9,B/L/D,Kacang,Tunggal
336,CR006,"Kacang bogor, segar","27,4","7,7","3,1","2,5",71.7,20.2,8.1,B/L/D,Kacang,Tunggal
337,CR007,"Kacang endel, biji, kering","58,0","25,0","1,0","23,6",69.0,29.8,1.2,B/L/D,Kacang,Tunggal
338,CR008,"Kacang ercis, segar","18,3","12,4","0,7","28,6",58.3,39.5,2.2,B/L/D,Kacang,Tunggal
339,CR009,"Kacang galing, segar","59,5","23,1","1,7",-,70.6,27.4,2.0,B/L/D,Kacang,Tunggal
340,CR010,"Kacang gude, biji, kering","58,0","20,7","1,0","4,6",72.8,26.0,1.3,B/L/D,Kacang,Tunggal
341,CR011,"Kacang gude, biji, segar","20,8","7,0","0,6","4,4",73.2,24.6,2.1,B/L/D,Kacang,Tunggal
342,CR012,"Kacang hijau var. bakti, kering","70,7","17,1","1,8","5,7",78.9,19.1,2.0,B/L/D,Kacang,Tunggal
343,CR013,"Kacang hijau var. siwalik, kering","64,6","20,8","2,1","7,4",73.8,23.8,2.4,B/L/D,Kacang,Tunggal
344,CR014,"Kacang hijau, kering","56,8","22,9","1,5","7,5",70.0,28.2,1.8,B/L/D,Kacang,Tunggal
345,CR015,"Kacang hitam, kering","66,1","16,6","1,7","22,8",78.3,19.7,2.0,B/L/D,Kacang,Tunggal
346,CR016,"Kacang kapri, segar","17,7","6,7","0,4","6,2",71.4,27.0,1.6,B/L/D,Kacang,Tunggal
347,CR017,"Kacang kedelai, kering","24,9","40,4","16,7","3,2",30.4,49.3,20.4,B/L/D,Kacang,Tunggal
348,CR018,"Kacang kedelai, segar","30,1","30,2","15,6",-,39.7,39.8,20.6,B/L/D,Kacang,Tunggal
349,CR019,"Kacang kincai, kering","55,0","19,9","16,0",-,60.5,21.9,17.6,B/L/D,Kacang,Tunggal
350,CR020,"Kacang komak, segar","55,8","16,4","4,3","0,5",72.9,21.4,5.6,B/L/D,Kacang,Tunggal
351,CR021,"Kacang kuning, kering","66,0","17,0","2,5","15,1",77.2,19.9,2.9,B/L/D,Kacang,Tunggal
352,CR022,"Kacang lebui /iris, kering","66,6","16,5","1,5","37,3",78.7,19.5,1.8,B/L/D,Kacang,Tunggal
353,CR023,"Kacang mentega, kering","64,6","16,7","2,1","13,0",77.5,20.0,2.5,B/L/D,Kacang,Tunggal
354,CR024,"Kacang merah/banda, kering","66,9","13,9","3,0","26,3",79.8,16.6,3.6,B/L/D,Kacang,Tunggal
355,CR025,"Kacang merah tua, kering","63,2","16,7","1,6","4,6",77.5,20.5,2.0,B/L/D,Kacang,Tunggal
356,CR026,"Kacang merah, kering","56,2","22,1","1,1","4,0",70.8,27.8,1.4,B/L/D,Kacang,Tunggal
357,CR027,"Kacang merah, segar","28,0","11,0","2,2","2,1",68.0,26.7,5.3,B/L/D,Kacang,Tunggal
358,CR028,"Kacang mete/biji jambu monyet, segar","28,7","16,3","48,4","0,9",30.7,17.5,51.8,B/L/D,Kacang,Tunggal
359,CR029,"Kacang panjang, biji, kering","68,6","17,3","1,5","10,6",78.5,19.8,1.7,B/L/D,Kacang,Tunggal
360,CR030,Kacang tanah sangan,"24,1","29,5","43,0","2,9",24.9,30.5,44.5,B/L/D,Kacang,Tunggal
361,CR031,Kacang tanah sangan tanpa selaput,"23,6","26,9","44,2","2,6",24.9,28.4,46.7,B/L/D,Kacang,Tunggal
362,CR032,"Kacang tanah, kering","17,4","27,9","42,7","2,4",19.8,31.7,48.5,B/L/D,Kacang,Tunggal
363,CR033,"Kacang tolo / tunggak, kering","56,6","24,4","1,9","1,6",68.3,29.4,2.3,B/L/D,Kacang,Tunggal
364,CR034,"Kacang tunis, kering","72,9","12,2","1,2","29,5",84.5,14.1,1.4,B/L/D,Kacang,Tunggal
