No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),% Karbo,% Protein,% Lemak,Waktu Makan,Kelompok Makanan,Mentah/Olahan
147,BP012,Ubi jalar tinta/ kemayung kukus,"39,8","0,9","0,2","1,1",97.3,2.2,0.5,B/L,Umbi,Olahan
148,BP013,Bagea kelapa asin,"78,1","3,2","13,9",-,82.0,3.4,14.6,B/L/D,Umbi,Olahan
149,BP014,Bagea kelapa manis,"80,6","1,3","13,8",-,84.2,1.4,14.4,B/L/D,Umbi,Olahan
150,BP015,Bagea kenari asin,"63,6","3,2","29,1",-,66.3,3.3,30.3,B/L/D,Umbi,Olahan
151,BP016,Bagea kenari manis,"64,2","3,2","28,2",-,67.2,3.3,29.5,B/L/D,Umbi,Olahan
152,BP017,Bagea kw 1,"76,3","6,5","9,4","0,4",82.8,7.0,10.2,B/L/D,Umbi,Olahan
153,BP018,Bagea kw 2,"87,2","0,3","3,5","0,9",95.8,0.3,3.8,B/L/D,Umbi,Olahan
154,BP019,Beras Cerdas,"82,3","2,7","1,1","6,2",95.6,3.1,1.3,B/L/D,Umbi,Olahan
155,BP020,Beras ganyong,"86,3","3,4","0,7","4,7",95.5,3.8,0.8,B/L/D,Umbi,Olahan
156,BP021,Beras Siger,"28,3","1,1","0,2","5,6",95.6,3.7,0.7,B/L/D,Umbi,Olahan
157,BP022,Biji nangka/Biji salak,"51,1","2,3","5,4","8,0",86.9,3.9,9.2,B/L,Umbi,Olahan
158,BP023,Bubur sagu,"33,0","0,2","4,0",-,88.7,0.5,10.8,B/L,Umbi,Olahan
159,BP024,Cassavastick,"17,2","0,8","18,7","1,6",46.9,2.2,51.0,B/L/D,Umbi,Olahan
160,BP025,Ceriping getuk singkong,"67,7","1,2","20,7","0,6",75.6,1.3,23.1,B/L,Umbi,Olahan
161,BP026,Gatot,"83,8","1,3","0,7","5,8",97.7,1.5,0.8,B/L/D,Umbi,Olahan
162,BP027,Geblek,"44,4","0,4","1,7","3,6",95.5,0.9,3.7,B/L/D,Umbi,Olahan
163,BP028,Getuk goreng,"74,3","1,3","6,4","0,8",90.6,1.6,7.8,B/L/D,Umbi,Olahan
164,BP029,Getuk singkong,"47,4","0,5","1,4","0,8",96.1,1.0,2.8,B/L,Umbi,Olahan
165,BP030,Gurandil,"48,5","0,5","2,5","3,1",94.2,1.0,4.9,B/L/D,Umbi,Olahan
166,BP031,Kabuto,"35,4","2,6","2,5","1,8",87.4,6.4,6.2,B/L/D,Umbi,Olahan
167,BP032,Kapurung,"7,8","2,0","0,3","2,0",77.2,19.8,3.0,B/L/D,Umbi,Olahan
168,BP033,Kecimpring singkong goreng,"73,0","1,2","18,6","1,3",78.7,1.3,20.0,B/L,Umbi,Olahan
169,BP034,Keremes,"64,4","1,6","25,2","2,1",70.6,1.8,27.6,B/L/D,Umbi,Olahan
170,BP035,Keripik gadung,"76,0","2,8","14,5","1,7",81.5,3.0,15.5,B/L,Umbi,Olahan
171,BP036,Keripik kentang,"67,1","2,7","18,8","3,8",75.7,3.0,21.2,B/L/D,Umbi,Olahan
172,BP037,Keripik singkong,"72,0","0,9","20,7","2,0",76.9,1.0,22.1,B/L,Umbi,Olahan
173,BP038,Keripik singkong berbumbu,"73,6","2,2","19,7","1,6",77.1,2.3,20.6,B/L,Umbi,Olahan
174,BP039,Keripik ubi,"67,6","0,2","23,9","14,3",73.7,0.2,26.1,B/L,Umbi,Olahan
175,BP040,Kerupuk cumi goreng,"71,3","6,9","14,6","5,0",76.8,7.4,15.7,B/L/D,Umbi,Olahan
176,BP041,Kerupuk kemplang (ikan) mentah,"78,5","1,8","0,4","4,5",97.3,2.2,0.5,L/D,Umbi,Olahan
177,BP042,Kerupuk kemplang goreng,"57,1","5,6","28,1","0,3",62.9,6.2,30.9,B/L/D,Umbi,Olahan
178,BP043,Kerupuk kemplang panggang,"76,9","9,7","1,1","1,0",87.7,11.1,1.3,L/D,Umbi,Olahan
179,BP044,Kerupuk mie kuning goreng,"71,3","0,1","21,1","4,2",77.1,0.1,22.8,B/L/D,Umbi,Olahan
180,BP045,Kerupuk udang goreng,"68,5","4,7","20,5","5,0",73.1,5.0,21.9,L/D,Umbi,Olahan
181,BP046,Kue bangket,"80,3","1,5","1,2",-,96.7,1.8,1.4,B,Umbi,Olahan
182,BP047,Kue putu singkong,"53,2","1,2","0,5","2,4",96.9,2.2,0.9,B,Umbi,Olahan
183,BP048,Lanting getuk,"80,4","0,9","10,8","1,4",87.3,1.0,11.7,B/L/D,Umbi,Olahan
184,BP049,Mi golosor,"15,9","0,2","0,8","0,1",94.1,1.2,4.7,B/L/D,Umbi,Olahan
185,BP050,Mie Bendo,"88,0","0,3",-,"2,4",99.7,0.3,0.0,B/L/D,Umbi,Olahan
186,BP051,Mie Sagu,"46,5","0,2","0,4","1,4",98.7,0.4,0.8,B/L/D,Umbi,Olahan
187,BP052,Ongol-ongol sagu,"21,2","0,3","2,7","0,3",87.6,1.2,11.2,B/L/D,Umbi,Olahan
188,BP053,Oyek,"84,9","0,9","0,9","4,3",97.9,1.0,1.0,B/L/D,Umbi,Olahan
189,BP054,Papeda,"14,9","0,2","0,1","0,5",98.0,1.3,0.7,B/L/D,Umbi,Olahan
190,BP055,Rasbi (Beras Ubi),"76,6","2,2","8,8","6,8",87.4,2.5,10.0,B/L,Umbi,Olahan
191,BP056,Rasi (Beras Singkong),"85,7","0,9","0,4","14,4",98.5,1.0,0.5,B/L,Umbi,Olahan
192,BP057,Sagu forno,"63,4","0,5","4,0",-,93.4,0.7,5.9,B/L/D,Umbi,Olahan
193,BP058,Sagu Lemak (Kue Sagon),"76,8","2,8","14,8","1,1",81.4,3.0,15.7,B,Umbi,Olahan
194,BP059,Sagu manis,"62,4","0,5","3,9",-,93.4,0.7,5.8,B/L/D,Umbi,Olahan
195,BP060,Sagu Rendang,"90,5","0,1","0,2","1,9",99.7,0.1,0.2,L/D,Umbi,Olahan
196,BP061,Sagu sinole,"68,9","0,8","8,3",-,88.3,1.0,10.6,B/L/D,Umbi,Olahan
197,BP062,Serimping talas kebumen,"69,2","2,5","21,2","1,7",74.5,2.7,22.8,B/L/D,Umbi,Olahan
198,BP063,Tapai singkong,"40,2","1,4","0,3","2,0",95.9,3.3,0.7,B/L,Umbi,Olahan
208,BP073,Tiwul,"83,4","2,4","1,1","6,5",96.0,2.8,1.3,B/L/D,Umbi,Olahan
209,BP074,Tiwul Instan,"76,5","3,2","8,5","4,2",86.7,3.6,9.6,B/L/D,Umbi,Olahan
210,BP075,Ubi Cilembu,"44,3","1,9","0,2","3,4",95.5,4.1,0.4,B/L,Umbi,Olahan
211,BP076,Uli batatas,"27,4","1,1","4,0",-,84.3,3.4,12.3,B/L/D,Umbi,Olahan
212,BR001,"Arrowroot, segar","24,1","1,0","0,2","1,7",95.3,4.0,0.8,B/L/D,Umbi,Tunggal
213,BR002,"Batatas gembili, segar","16,0","1,1","0,9","4,2",88.9,6.1,5.0,B/L/D,Umbi,Tunggal
214,BR003,"Batatas kelapa, ubi, segar","21,0","1,1","0,1","4,0",94.6,5.0,0.5,B/L,Umbi,Tunggal
215,BR004,"Belitung, talas, segar","34,2","1,2","0,4","1,5",95.5,3.4,1.1,B/L/D,Umbi,Tunggal
216,BR005,"Bengkuang, segar","12,8","1,4","0,2","1,0",88.9,9.7,1.4,B/L/D,Umbi,Tunggal
217,BR006,"Bentul (Komba), talas, segar","20,9","1,6","0,7","0,7",90.1,6.9,3.0,B/L/D,Umbi,Tunggal
218,BR007,"Gadeng/Gadung, kering","76,6","2,4","0,6",-,96.2,3.0,0.8,B/L/D,Umbi,Tunggal
219,BR008,"Gadung, ubi, segar","23,5","0,9","0,3","2,1",95.1,3.6,1.2,B/L,Umbi,Tunggal
220,BR009,"Ganyong, segar","18,4","0,6","0,2","0,8",95.8,3.1,1.0,B/L/D,Umbi,Tunggal
221,BR010,"Gembili, ubi, segar","31,3","1,1","0,2","1,1",96.0,3.4,0.6,B/L,Umbi,Tunggal
222,BR011,"Hofa/Ubi hutan, segar","29,5","1,2","0,5","3,4",94.6,3.8,1.6,B/L,Umbi,Tunggal
223,BR012,"Kaburan, ubi, segar","32,2","1,0","0,2","0,7",96.4,3.0,0.6,B/L,Umbi,Tunggal
224,BR013,"Kentang, segar","13,5","2,1","0,2","0,5",85.4,13.3,1.3,B/L/D,Umbi,Tunggal
225,BR014,"Kentang hitam, segar","33,7","0,9","0,4","5,4",96.3,2.6,1.1,B/L/D,Umbi,Tunggal
226,BR015,"Keribang, ubi, segar","29,8","1,3","1,1","0,6",92.5,4.0,3.4,B/L,Umbi,Tunggal
227,BR016,"Ketela pohon/ singkong, segar","36,8","1,0","0,3","0,9",96.6,2.6,0.8,B/L,Umbi,Tunggal
228,BR017,Lepok/Ubi rumput,"39,8","2,8","1,2","10,7",90.9,6.4,2.7,B/L,Umbi,Tunggal
229,BR018,"Sagu aren, kering","85,6","0,6","1,1","0,3",98.1,0.7,1.3,B/L/D,Umbi,Tunggal
230,BR019,"Sagu aren, segar","56,6","0,6","0,2","3,2",98.6,1.0,0.3,B/L/D,Umbi,Tunggal
231,BR020,Sagu kasbi segar,"56,5","0,6","0,2","3,0",98.6,1.0,0.3,B/L/D,Umbi,Tunggal
232,BR021,Sagu lempeng,"85,2","0,9","0,3","4,7",98.6,1.0,0.3,B/L/D,Umbi,Tunggal
233,BR022,"Sagu singkong, kering","86,9","0,5","0,3",-,99.1,0.6,0.3,B/L,Umbi,Tunggal
234,BR023,"Sente, talas, segar","84,7","0,7","0,2","6,6",98.9,0.8,0.2,B/L/D,Umbi,Tunggal
235,BR024,"Suweg, talas, segar","17,2","1,4","0,1","1,4",92.0,7.5,0.5,B/L/D,Umbi,Tunggal
236,BR025,"Talas bogor, segar","25,0","1,4","0,4","0,9",93.3,5.2,1.5,B/L/D,Umbi,Tunggal
237,BR026,"Talas pontianak, segar","36,4","2,3","0,5","0,7",92.9,5.9,1.3,B/L/D,Umbi,Tunggal
238,BR027,"Talas viqueque, segar","25,9","1,8","0,5","8,6",91.8,6.4,1.8,B/L/D,Umbi,Tunggal
239,BR028,"Ubi jalar, kuning, segar","25,1","0,5","0,4","4,2",96.5,1.9,1.5,B/L,Umbi,Tunggal
240,BR029,"Ubi jalar manis, segar","18,8","1,5","0,2","0,6",91.7,7.3,1.0,B/L,Umbi,Tunggal
241,BR030,"Ubi jalar merah, segar","35,4","1,6","0,3","0,7",94.9,4.3,0.8,B/L,Umbi,Tunggal
242,BR031,"Ubi jalar putih, segar","20,6","0,4","0,4","4,0",96.3,1.9,1.9,B/L,Umbi,Tunggal
243,BR032,Ubi jalar tinta/ kemayung,"25,6","0,5","0,4","4,2",96.6,1.9,1.5,B/L,Umbi,Tunggal
244,BR033,"Umbi Uwi, segar","82,3","2,8","0,5","2,6",96.1,3.3,0.6,B/L/D,Umbi,Tunggal
245,CP001,"Kacang belimbing (kecipir), rebus","17,5","16,9","8,8","4,8",40.5,39.1,20.4,B/L/D,Kacang,Olahan
246,CP002,"Kacang bogor, goreng","58,9","12,7","23,2","1,2",62.1,13.4,24.5,B/L/D,Kacang,Olahan
247,CP003,"Kacang bogor, rebus","27,1","7,7","2,8","2,0",72.1,20.5,7.4,B/L/D,Kacang,Olahan
248,CP004,"Kacang gude, rebus","27,5","9,0","0,5","3,4",74.3,24.3,1.4,B/L/D,Kacang,Olahan
249,CP005,"Kacang hijau, rebus","18,3","8,7","0,5","1,5",66.5,31.6,1.8,B/L/D,Kacang,Olahan
250,CP006,"Kacang kedelai, goreng","22,9","32,2","37,7","7,6",24.7,34.7,40.6,B/L/D,Kacang,Olahan
251,CP007,"Kacang kedelai, rebus","12,7","20,2","8,2","1,6",30.9,49.1,20.0,B/L/D,Kacang,Olahan
252,CP008,"Kacang merah kering, rebus","28,2","10,3","0,9","2,6",71.6,26.1,2.3,B/L/D,Kacang,Olahan
253,CP009,"Kacang merah segar, rebus","24,7","10,0","1,0","3,5",69.2,28.0,2.8,B/L/D,Kacang,Olahan
254,CP010,"Kacang mete/biji jambu monyet, goreng","19,8","20,4","56,3","1,1",20.5,21.1,58.3,B/L/D,Kacang,Olahan
255,CP011,Kacang tanah rebus dg kulit,"12,8","13,5","31,2",-,22.3,23.5,54.3,B/L/D,Kacang,Olahan
256,CP012,"Kacang tanah, goreng","25,5","25,5","44,4","2,8",26.7,26.7,46.5,B/L/D,Kacang,Olahan
257,CP013,"Kacang tanah, rebus","8,0","10,6","18,0","1,0",21.9,29.0,49.2,B/L/D,Kacang,Olahan
258,CP014,"Kacang tolo / tunggak, rebus","22,6","10,7","1,1","0,9",65.7,31.1,3.2,B/L/D,Kacang,Olahan
259,CP015,Ampas kacang hijau,"19,1","3,7","0,6","2,7",81.6,15.8,2.6,B/L/D,Kacang,Olahan
260,CP016,"Ampas tahu, mentah","8,1","5,0","2,1","4,1",53.3,32.9,13.8,B/L/D,Kacang,Olahan
261,CP017,Ampas tahu kukus,"10,7","4,1","2,1","5,1",63.3,24.3,12.4,B/L/D,Kacang,Olahan
262,CP018,"Ampas tahu, kering","41,3","26,6","18,3",-,47.9,30.9,21.2,B/L/D,Kacang,Olahan
263,CP019,Pepes oncom ampas tahu,"10,6","5,2","1,8","2,2",60.2,29.5,10.2,B/L/D,Kacang,Olahan
264,CP020,Bungkil biji karet,"50,0","29,3","3,3",-,60.5,35.5,4.0,B/L/D,Kacang,Olahan
265,CP021,Bungkil kacang tanah,"30,5","37,4","13,0",-,37.7,46.2,16.1,B/L/D,Kacang,Olahan
266,CP022,Bungkil kelapa,"40,0","23,0","15,0",-,51.3,29.5,19.2,B/L/D,Kacang,Olahan
267,CP023,Dodol banjarmasin,"70,0","2,6","8,6","0,5",86.2,3.2,10.6,B/L/D,Kacang,Olahan
269,CP025,Emping komak,"60,7","17,8","4,6",-,73.0,21.4,5.5,B/L,Kacang,Olahan
270,CP026,Enting-enting gepuk hello kity,"52,6","13,6","30,3","0,2",54.5,14.1,31.4,B/L/D,Kacang,Olahan
271,CP027,Enting-enting gepuk kacang tanah,"52,0","13,3","29,2","0,2",55.0,14.1,30.9,B/L/D,Kacang,Olahan
272,CP028,Enting-enting wijen,"36,8","18,2","38,4","1,9",39.4,19.5,41.1,B/L/D,Kacang,Olahan
273,CP029,Geplak,"53,6","1,4","14,4","1,8",77.2,2.0,20.7,B/L/D,Kacang,Olahan
274,CP030,Geplak jahe,"57,7","3,1","24,4","3,3",67.7,3.6,28.6,B/L/D,Kacang,Olahan
275,CP031,Kacang atom,"28,8","27,8","38,1","2,5",30.4,29.4,40.2,B/L/D,Kacang,Olahan
276,CP032,Kacang goyang,"44,4","14,7","31,1",-,49.2,16.3,34.5,B/L/D,Kacang,Olahan
277,CP033,Kacang negara,"58,5","18,4","19,1","11,7",60.9,19.2,19.9,B/L/D,Kacang,Olahan
278,CP034,Kacang sukro,"57,7","8,8","26,1","1,8",62.3,9.5,28.2,B/L/D,Kacang,Olahan
279,CP035,Kacang tanah sari,"26,0","25,5","43,8","2,2",27.3,26.8,46.0,B/L/D,Kacang,Olahan
280,CP036,Keju kacang tanah (peanut butter),"20,9","27,0","49,0","1,6",21.6,27.9,50.6,B/L/D,Kacang,Olahan
281,CP037,Kembang tahu,"23,3","48,9","13,8",-,27.1,56.9,16.0,B/L/D,Kacang,Olahan
282,CP038,Kembang tahu rebus,"4,7","10,7","4,0",-,24.2,55.2,20.6,B/L/D,Kacang,Olahan
283,CP039,Keripik oncom,"42,6","8,3","43,8","3,3",45.0,8.8,46.3,B/L,Kacang,Olahan
284,CP040,Keripik tempe,"41,7","12,1","40,6","2,2",44.2,12.8,43.0,B/L/D,Kacang,Olahan
285,CP041,Keripik tempe abadi besar,"39,8","15,8","37,1","3,5",42.9,17.0,40.0,B/L/D,Kacang,Olahan
286,CP042,Keripik tempe abadi murni,"11,6","40,3","42,4","2,2",12.3,42.7,45.0,B/L/D,Kacang,Olahan
287,CP043,Keripik tempe abadi sedang,"52,4","12,3","27,9","3,6",56.6,13.3,30.1,B/L/D,Kacang,Olahan
288,CP044,Keripik tempe abadi telur,"40,2","20,8","31,7","3,0",43.4,22.4,34.2,B/L/D,Kacang,Olahan
289,CP045,Keripik tempe abadi prima,"42,0","16,7","33,9","2,2",45.4,18.0,36.6,B/L/D,Kacang,Olahan
290,CP046,Kwaci,"13,8","30,6","42,1","13,6",16.0,35.4,48.7,B/L/D,Kacang,Olahan
291,CP047,Melinjo emping tebal goreng manis,"65,7","10,0","16,4",-,71.3,10.9,17.8,B/L/D,Kacang,Olahan
292,CP048,"Melinjo emping tebal, goreng asin","63,0","11,1","16,2",-,69.8,12.3,17.9,B/L/D,Kacang,Olahan
293,CP049,Melinjo emping tipis goreng,"59,1","11,5","24,5",-,62.1,12.1,25.8,B/L/D,Kacang,Olahan
294,CP050,Moon tahu,"1,3","8,0","10,0","0,2",6.7,41.5,51.8,B/L/D,Kacang,Olahan
295,CP051,Oncom,"22,6","13,0","6,0",-,54.3,31.2,14.4,B/L/D,Kacang,Olahan
296,CP052,Oncom ampas kacang hijau,"65,7","14,9","6,0","12,3",75.9,17.2,6.9,B/L/D,Kacang,Olahan
297,CP053,Oncom kacang hijau + singkong,"65,9","11,0","5,3","9,0",80.2,13.4,6.4,B/L/D,Kacang,Olahan
298,CP054,Oncom kacang tanah pepes,"13,7","12,7","3,8","3,1",45.4,42.1,12.6,B/L/D,Kacang,Olahan
299,CP055,Rempeyek kacang tanah,"44,3","17,5","32,5","1,7",47.0,18.6,34.5,B/L/D,Kacang,Olahan
300,CP056,Rempeyek kacang tolo,"59,7","11,2","20,2","1,8",65.5,12.3,22.2,B/L/D,Kacang,Olahan
301,CP057,Rempeyek kacang uci,"50,8","17,0","27,6","2,4",53.2,17.8,28.9,B/L/D,Kacang,Olahan
302,CP058,Sayur lebui,"12,5","2,1","0,6","5,7",82.2,13.8,3.9,B/L/D,Kacang,Olahan
304,CP060,Susu kedelai,"5,0","3,5","2,5","0,2",45.5,31.8,22.7,L/D,Kacang,Olahan
305,CP061,"Tahu, mentah","0,8","10,9","4,7","0,1",4.9,66.5,28.7,B/L/D,Kacang,Olahan
306,CP062,Tahu goreng,"2,5","9,7","8,5","0,1",12.1,46.9,41.1,B/L/D,Kacang,Olahan
307,CP063,Tahu telur,"24,6","12,6","19,9","0,4",43.1,22.1,34.9,B/L/D,Kacang,Olahan
308,CP064,Takwa,"4,0","13,8","8,5",-,15.2,52.5,32.3,B/L/D,Kacang,Olahan
309,CP065,Tauco,"22,2","11,4","5,5","1,9",56.8,29.2,14.1,B/L/D,Kacang,Olahan
310,CP066,"Tauco cap beruang, cake","67,6","7,4","5,2","3,2",84.3,9.2,6.5,B,Kacang,Olahan
311,CP067,"Tauco cap DAS, cake","70,4","7,5","4,3","3,1",85.6,9.1,5.2,B,Kacang,Olahan
312,CP068,Tauco cap meong,"21,3","7,4","4,9","1,6",63.4,22.0,14.6,B/L/D,Kacang,Olahan
313,CP069,Tauji cap singa,"49,6","9,1","4,7","1,2",78.2,14.4,7.4,B/L/D,Kacang,Olahan
314,CP070,Tempe bongkrek,"18,3","4,4","3,5",-,69.8,16.8,13.4,B/L/D,Kacang,Olahan
315,CP071,Tempe gembus P3G,"10,3","5,7","1,3","4,2",59.5,32.9,7.5,B/L/D,Kacang,Olahan
316,CP072,Tempe gembus yogya,"10,6","6,8","0,7","5,3",58.6,37.6,3.9,B/L/D,Kacang,Olahan
317,CP073,Tempe kacang babi,"21,9","12,5","0,8","1,8",62.2,35.5,2.3,L/D,Kacang,Olahan
318,CP074,Tempe kecipir (kacang belimbing),"12,9","17,5","10,0","2,9",31.9,43.3,24.8,B/L/D,Kacang,Olahan
319,CP075,Tempe kedelai + jagung,"11,4","12,0","5,5","1,9",39.4,41.5,19.0,B/L/D,Kacang,Olahan
