No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
570,DR127,"Lumai/Leunca, segar","7,6","1,1","0,3","2,0",Tunggal,Sayur,KZGMI-2001
571,DR128,"Melinjo, segar","13,3","5,0","0,7",-,Tunggal,Sayur,DABM-1964
572,DR129,Mostarda metan - sawi hijau,"4,7","2,3","0,5","1,8",Tunggal,Sayur,KZGMI-2001
573,DR130,"Nangka muda, segar","11,3","2,0","0,4","8,3",Tunggal,Sayur,DABM-1964
574,DR131,"Paria putih, segar","3,6","1,0","0,4","1,3",Tunggal,Sayur,KZGPI-1990
575,DR132,"Pepare ular, segar","3,9","0,6","0,1","1,0",Tunggal,Sayur,KZGMI-2001
576,DR133,"Pepaya muda, segar","4,9","2,1","0,1","2,1",Tunggal,Sayur,DABM-1964
577,DR134,"Petai, segar","15,2","5,4","1,1","2,0",Tunggal,Sayur,KZGMI-2001
578,DR135,"Peterseli, segar","9,0","3,7","1,0",-,Tunggal,Sayur,DABM-1964
579,DR136,"Pucuk lumai/daun leunca, segar","2,8","4,5","0,4",-,Tunggal,Sayur,KZGMI-2001
580,DR137,"Putri malu, segar","14,6","3,6","0,3","7,1",Tunggal,Sayur,KZGMI-2001
581,DR138,"Rebung, segar","5,3","0,8","0,1","9,7",Tunggal,Sayur,KZGMI-2001
582,DR139,"Rimbang, segar","15,8","1,6","0,6","10,0",Tunggal,Sayur,KZGMI-2001
583,DR140,Rumput laut,"8,1","1,4","0,3","2,2",Tunggal,Sayur,KZGMI-2001
584,DR141,"Sawi, segar","4,0","2,3","0,3","2,5",Tunggal,Sayur,DABM-1964
585,DR142,"Sawi putih / pecai, segar","1,7","1,0","0,1","0,8",Tunggal,Sayur,KZGPI-1990
586,DR143,"Sawi taiwan, segar","4,4","1,9","0,5","2,7",Tunggal,Sayur,KZGMI-2001
587,DR144,"Sawi tanah, segar","2,9","1,3","0,2","2,2",Tunggal,Sayur,KZGMI-2001
588,DR145,"Selada, segar","2,9","1,2","0,2","1,8",Tunggal,Sayur,DABM-1964
589,DR146,"Selada air, segar","2,2","3,1","0,2","0,7",Tunggal,Sayur,KZGPI-1990
590,DR147,"Seledri, segar","4,6","1,0","0,1","2,0",Tunggal,Sayur,DABM-1964
591,DR148,"Taoge, segar","4,3","3,7","1,2","1,1",Tunggal,Sayur,KZGPI-1990
592,DR149,"Taoge kacang kedelai, segar","6,4","9,0","2,6","0,7",Tunggal,Sayur,DABM-1964
593,DR150,"Taoge kacang tunggak, segar","5,8","5,0","0,2","2,6",Tunggal,Sayur,DABM-1964
594,DR151,"Tebu terubuk (lilin), segar","3,0","4,6","0,4","0,8",Tunggal,Sayur,DABM-1964
595,DR152,"Tekokak, segar","7,9","2,0","0,1","4,9",Tunggal,Sayur,DABM-1964
596,DR153,"Tekokak, kering","72,6","8,3","1,7","21,2",Tunggal,Sayur,DABM-1964
597,DR154,"Terong, segar","5,5","1,1","0,2","2,1",Tunggal,Sayur,DABM-1964
598,DR155,"Terong asam, segar","6,3","2,0","0,4","3,2",Tunggal,Sayur,KZGMI-2001
599,DR156,"Terung belanda, segar","8,6","2,1","1,1","1,4",Tunggal,Sayur,KZGPI-1990
600,DR157,"Terung bengkulu, segar","11,2","1,1","0,4","3,2",Tunggal,Sayur,KZGPI-1990
601,DR158,"Terong hintalo, segar","7,5","1,9","0,8","5,1",Tunggal,Sayur,KZGMI-2001
602,DR159,Terung panjang,"5,3","2,1","0,1","0,5",Tunggal,Sayur,KZGPI-1990
603,DR160,"Tomat, air (sari), segar","3,5","1,0","0,2","0,4",Tunggal,Sayur,DABM-1964
604,DR161,"Tomat merah, segar","4,7","1,3","0,5",-,Tunggal,Sayur,KZGPI-1990
605,DR162,"Tomat muda, segar","3,3","2,0","0,7","1,8",Tunggal,Sayur,DABM-1964
606,DR163,"Uceng/ bunga melinjo, segar","11,7","5,8","1,3","4,8",Tunggal,Sayur,KZGPI-1990
607,DR164,"Umbut kelapa, segar","7,2","2,0","0,2","2,5",Tunggal,Sayur,KZGMI-2001
608,DR165,Umbut rotan,"5,5","2,4","0,3","2,2",Tunggal,Sayur,KZGMI-2001
609,DR166,"Wortel, segar","7,9","1,0","0,6","1,0",Tunggal,Sayur,KZGPI-1990
610,EP001,Barongko,"23,5","3,1","5,8",-,Olahan,Buah,KZGMI-2001
611,EP002,Dodol nanas,"80,3","1,5","1,2",-,Olahan,Buah,KZGMI-2001
612,EP003,Getuk pisang,"34,1","1,1","0,4","0,4",Olahan,Buah,KZGPI-1990
613,EP004,Keripik lampung,"69,7","1,7","22,2","0,6",Olahan,Buah,KZGPI-1990
614,EP005,Ledre pisang,"84,9","4,8","5,1","0,4",Olahan,Buah,KZGPI-1990
615,EP006,Lempog durian,"63,7","3,5","5,7","4,9",Olahan,Buah,KZGPI-1990
616,EP007,Loka anjoro,"30,0","1,1","4,3",-,Olahan,Buah,KZGMI-2001
617,EP008,Rica-rica taipa,"10,0","1,6","0,3",-,Olahan,Buah,KZGMI-2001
618,EP009,Rujak aceh,"19,7","0,4","0,3","2,4",Olahan,Buah,KZGMI-2001
619,EP010,Sale kesemek,"71,4","1,1","0,6",-,Olahan,Buah,KZGMI-2001
620,EP011,Sale pisang siam,"66,1","2,4","0,7","1,0",Olahan,Buah,KZGPI-1990
621,EP012,"Sale pisang, cilacap","66,9","2,3","2,1","1,3",Olahan,Buah,KZGPI-1990
622,EP013,Sanggara belanda,"38,2","6,4","7,1",-,Olahan,Buah,KZGMI-2001
623,EP014,Tepung Pisang,"80,6","2,9","0,4","5,3",Olahan,Buah,BKP
624,EP015,Tepung Sukun,"84,4","2,9","0,5","3,7",Olahan,Buah,BKP
625,ER001,"Alpukat, segar","7,7","0,9","6,5",-,Tunggal,Buah,DABM-1964
626,ER002,"Anggur hutan, segar","6,8","0,5","0,2","1,2",Tunggal,Buah,KZGPI-1990
627,ER003,"Apel malang, segar","12,8","0,5","0,4","0,8",Tunggal,Buah,KZGPI-1990
628,ER004,"Apel, segar","14,9","0,3","0,4","2,6",Tunggal,Buah,DABM-1964
629,ER005,"Arbai, segar","8,3","0,8","0,5",-,Tunggal,Buah,DABM-1964
630,ER006,"Belimbing, segar","8,8","0,4","0,4","3,3",Tunggal,Buah,DABM-1964
631,ER007,"Biwah, segar","12,1","0,3","0,1","0,7",Tunggal,Buah,KZGPI-1990
632,ER008,"Buah atung, segar","5,2","0,8","0,2",-,Tunggal,Buah,DABM-1964
633,ER009,"Buah kelenting, segar","21,4","1,4","2,1",-,Tunggal,Buah,KZGMI-2001
634,ER010,"Buah kom, segar","59,6","4,0","1,1","9,0",Tunggal,Buah,KZGPI-1990
635,ER011,"Buah mentega (Bisbul), segar","9,7","0,7","0,2","2,0",Tunggal,Buah,DABM-1964
636,ER012,"Buah Naga Merah, segar","9,1","1,7","3,1","3,2",Tunggal,Buah,BKP
637,ER013,"Buah Naga Putih, segar","10,9","0,8","1,0","3,2",Tunggal,Buah,BKP
638,ER014,"Buah negri, segar","12,2","1,2","0,1","5,2",Tunggal,Buah,KZGMI-2001
639,ER015,"Buah nona, segar","25,2","1,7","0,6","2,8",Tunggal,Buah,DABM-1964
640,ER016,"Buah rotan, segar","18,2","0,6","0,3",-,Tunggal,Buah,KZGMI-2001
641,ER017,"Buah rukam, segar","26,8","0,8","0,3","7,7",Tunggal,Buah,KZGMI-2001
642,ER018,"Buah ruruhi, segar","3,6","2,1","0,7","2,6",Tunggal,Buah,KZGMI-2001
643,ER019,"Buah tuppa, segar","15,9","0,4","0,2",-,Tunggal,Buah,KZGMI-2001
644,ER020,"Carica papaya, segar","3,7","1,9","0,2","1,0",Tunggal,Buah,KZGPI-1990
645,ER021,"Cempedak, segar","28,6","3,0","0,4","3,4",Tunggal,Buah,DABM-1964
646,ER022,"Duku, segar","16,1","1,0","0,2","4,3",Tunggal,Buah,DABM-1964
647,ER023,"Durian, segar","28,0","2,5","3,0","3,5",Tunggal,Buah,DABM-1964
648,ER024,"Duwet, segar","18,2","0,5","0,6","0,9",Tunggal,Buah,KZGPI-1990
649,ER025,"Embacang, segar","25,4","1,4","0,2","1,9",Tunggal,Buah,DABM-1964
650,ER026,"Encung asam, segar","17,5","3,5","4,5","9,3",Tunggal,Buah,KZGPI-1990
651,ER027,"Erbis, segar","18,9","0,6",-,"7,7",Tunggal,Buah,DABM-1964
652,ER028,Gandaria masak,"18,0","0,7","0,1","2,2",Tunggal,Buah,DABM-1964
653,ER029,"Gatep, segar","39,7","4,5","1,5","13,4",Tunggal,Buah,KZGPI-1990
654,ER030,"Jambu air, segar","11,8","0,6","0,2","2,1",Tunggal,Buah,DABM-1964
655,ER031,Jambu biji,"12,2","0,9","0,3","2,4",Tunggal,Buah,DABM-1964
656,ER032,Jambu biji putih tidak berbiji,"15,4","0,9","0,3","4,5",Tunggal,Buah,KZGPI-1990
657,ER033,"Jambu bol, segar","9,6","2,3","0,2","3,5",Tunggal,Buah,KZGMI-2001
658,ER034,"Jambu monyet, segar","15,8","0,7","0,6","1,2",Tunggal,Buah,DABM-1964
659,ER035,"Jeruk bali, segar","12,4","0,6","0,2","0,8",Tunggal,Buah,DABM-1964
660,ER036,"Jeruk banjar, segar","14,1","0,8","0,2",-,Tunggal,Buah,KZGMI-2001
661,ER037,Jeruk garut-keprok,"10,9","0,8","0,3","1,6",Tunggal,Buah,DABM-1964
662,ER038,"Jeruk Kalamansi, segar","8,9","0,3","0,3","2,3",Tunggal,Buah,BKP
663,ER039,"Jeruk manis, segar","11,2","0,9","0,2","1,4",Tunggal,Buah,DABM-1964
664,ER040,"Jeruk nipis, segar","10,0","0,5","0,2","0,4",Tunggal,Buah,KZGPI-1990
665,ER041,"Jeruk ragi, segar","11,1","0,7","0,2","0,5",Tunggal,Buah,KZGPI-1990
666,ER042,"Kawista, segar","20,8","3,5","2,5","4,6",Tunggal,Buah,KZGPI-1990
667,ER043,"Kedondong masak, segar","10,3","1,0","0,1","2,6",Tunggal,Buah,DABM-1964
668,ER044,"Kedondong, segar","10,4","0,5","0,2","2,7",Tunggal,Buah,KZGMI-2001
669,ER045,"Kelapa hutan, kering","36,5","2,0","52,1","15,3",Tunggal,Buah,KZGMI-2001
670,ER046,"Kelapa muda, daging, segar","14,0","1,0","0,9",-,Tunggal,Buah,DABM-1964
671,ER047,"Kemang, segar","11,9","1,0","0,2","1,7",Tunggal,Buah,DABM-1964
672,ER048,"Kesemek, segar","20,0","0,8","0,4","0,6",Tunggal,Buah,DABM-1964
673,ER049,"Kokosan, segar","13,0","1,6","0,2","1,4",Tunggal,Buah,DABM-1964
674,ER050,"Kranji, segar","73,5","2,1","1,4",-,Tunggal,Buah,KZGPI-1990
675,ER051,"Langsat, segar","14,3","0,9","0,2","1,4",Tunggal,Buah,DABM-1964
676,ER052,"Lemon, segar","6,2","0,5","0,8","0,1",Tunggal,Buah,KZGMI-2001
677,ER053,"Lontar, segar","6,0","0,4","0,2","1,6",Tunggal,Buah,KZGPI-1990
678,ER054,"Mangga, segar","12,3","0,7",-,"1,6",Tunggal,Buah,KZGMI-2001
679,ER055,"Mangga benggala, segar","12,4","2,4","0,4","5,8",Tunggal,Buah,KZGMI-2001
680,ER056,"Mangga gedung, segar","11,2","0,7","0,2","1,6",Tunggal,Buah,DABM-1964
681,ER057,"Mangga golek, segar","16,7","0,5","0,2","2,3",Tunggal,Buah,DABM-1964
682,ER058,"Mangga harumanis, segar","11,9","0,4","0,2","1,7",Tunggal,Buah,DABM-1964
683,ER059,"Mangga indramayu, segar","18,7","0,8","0,2","2,5",Tunggal,Buah,DABM-1964
684,ER060,"Mangga kopek, segar","14,6","0,4","0,2","2,0",Tunggal,Buah,DABM-1964
685,ER061,"Mangga kwini, segar","19,8","0,7","0,5","6,5",Tunggal,Buah,KZGMI-2001
686,ER062,"Mangga manalagi, segar","32,1","1,0","0,1","11,8",Tunggal,Buah,KZGMI-2001
687,ER063,"Mangga muda, segar","15,1","0,5","0,4",-,Tunggal,Buah,DABM-1964
688,ER064,"Manggis, segar","15,6","0,6","0,6","1,5",Tunggal,Buah,DABM-1964
689,ER065,"Markisa, segar","29,8","3,5","1,2","11,4",Tunggal,Buah,KZGPI-1990
690,ER066,"Matoa, segar","21,1","1,2","0,1","0,5",Tunggal,Buah,KZGMI-2001
691,ER067,"Melon, segar","7,8","0,6","0,4","1,0",Tunggal,Buah,BKP
692,ER068,"Menteng, segar","16,1","1,7","0,3",-,Tunggal,Buah,DABM-1964
693,ER069,"Nanas palembang, segar","13,3","0,7","0,2","1,6",Tunggal,Buah,KZGMI-2001
694,ER070,"Nanas, segar","9,9","0,6","0,3","0,6",Tunggal,Buah,KZGPI-1990
695,ER071,"Nangka masak pohon, segar","27,6","1,2","0,3","3,7",Tunggal,Buah,DABM-1964
696,ER072,"Pala, daging, segar","10,9","0,3","0,2","0,5",Tunggal,Buah,DABM-1964
697,ER073,"Pepaya, segar","12,2","0,5","12,0","1,6",Tunggal,Buah,DABM-1964
698,ER074,"Pisang ambon, segar","24,3","1,0","0,8","1,9",Tunggal,Buah,KZGMI-2001
699,ER075,"Pisang angleng (pisang ampyang), segar","17,2","1,3","0,2","0,8",Tunggal,Buah,DABM-1964
700,ER076,"Pisang ayam, segar","26,8","1,1","0,2","4,1",Tunggal,Buah,KZGMI-2001
701,ER077,"Pisang gapi, segar","31,1","2,1","0,3","11,7",Tunggal,Buah,KZGMI-2001
702,ER078,"Pisang goroho, segar","27,9","1,9","0,2","4,6",Tunggal,Buah,KZGMI-2001
703,ER079,"Pisang hijau, segar","28,9","2,0","0,3","0,4",Tunggal,Buah,KZGPI-1990
704,ER080,"Pisang kayu, segar","23,6","1,4","0,5","2,6",Tunggal,Buah,KZGMI-2001
705,ER081,"Pisang kepok, segar","26,3","0,8","0,5","5,7",Tunggal,Buah,KZGMI-2001
706,ER082,"Pisang ketip, segar","34,5","1,1","0,3","6,6",Tunggal,Buah,KZGMI-2001
707,ER083,"Pisang kidang, segar","22,5","1,0","0,2","0,6",Tunggal,Buah,KZGPI-1990
708,ER084,"Pisang lampung, segar","25,6","1,3","0,2","4,3",Tunggal,Buah,DABM-1964
709,ER085,"Pisang mas bali ampenan, segar","21,0","1,4","0,2","3,7",Tunggal,Buah,KZGMI-2001
710,ER086,"Pisang mas bali kopang, segar","31,8","1,4","0,2","3,7",Tunggal,Buah,KZGMI-2001
711,ER087,"Pisang mas, segar","33,6","1,4","0,2","1,4",Tunggal,Buah,DABM-1964
712,ER088,"Pisang raja sereh, segar","28,2","1,3","0,3","0,7",Tunggal,Buah,KZGPI-1990
713,ER089,"Pisang raja, segar","31,8","1,2","0,2","5,3",Tunggal,Buah,DABM-1964
714,ER090,"Pisang rotan, segar","20,5","1,3","1,2","1,0",Tunggal,Buah,KZGPI-1990
715,ER091,"Pisang talas, segar","26,7","1,2","0,2","4,4",Tunggal,Buah,KZGMI-2001
716,ER092,Pisang tujuh bulan,"22,5","0,6","0,2","3,7",Tunggal,Buah,KZGMI-2001
717,ER093,"Pisang ua, segar","30,2","0,8","0,5","8,1",Tunggal,Buah,KZGMI-2001
718,ER094,"Pisang uli, segar","35,5","1,1","0,5","1,4",Tunggal,Buah,KZGPI-1990
719,ER095,"Purut, segar","15,2","4,1","1,1","1,7",Tunggal,Buah,KZGPI-1990
720,ER096,"Rambutan binjai, segar","18,0","0,5","0,2","3,8",Tunggal,Buah,KZGMI-2001
721,ER097,"Rambutan, segar","18,1","0,9","0,1","0,8",Tunggal,Buah,DABM-1964
722,ER098,"Salak bali, segar","13,6","0,5","0,1","1,3",Tunggal,Buah,KZGPI-1990
723,ER099,"Salak medan, segar","12,8","0,4","0,2","3,2",Tunggal,Buah,KZGMI-2001
724,ER100,"Salak pondoh, segar","20,1","0,8","0,4",-,Tunggal,Buah,KZGPI-1990
725,ER101,"Salak, segar","20,9","0,4",-,-,Tunggal,Buah,DABM-1964
726,ER102,"Sawo duren, segar","8,0","1,0","3,1","0,8",Tunggal,Buah,KZGPI-1990
727,ER103,"Sawo kecik, segar","21,6","0,9","2,3","1,0",Tunggal,Buah,KZGPI-1990
728,ER104,"Sawo Manila, segar","22,4","0,5","1,1","9,5",Tunggal,Buah,DABM-1964
729,ER105,"Semangka, segar","6,9","0,5","0,2","0,4",Tunggal,Buah,DABM-1964
730,ER106,"Sirsak, segar","16,3","1,0","0,3","3,2",Tunggal,Buah,DABM-1964
731,ER107,"Sowa, segar","9,1","1,6","0,6","45,0",Tunggal,Buah,KZGMI-2001
732,ER108,"Srikaya, segar","13,9","1,1","0,5","2,1",Tunggal,Buah,KZGPI-1990
733,ER109,"Sukun muda, segar","28,1","1,4","0,2","1,4",Tunggal,Buah,KZGPI-1990
734,ER110,"Sukun tua, segar","24,5","1,6","0,2","1,5",Tunggal,Buah,KZGPI-1990
735,ER111,"Vigus, segar","8,3","2,4","0,1",-,Tunggal,Buah,KZGMI-2001
736,ER112,"Wani, segar","17,1","0,8","0,3","3,1",Tunggal,Buah,KZGPI-1990
737,ER113,"Mentimun Suri, segar","2,1","1,3","0,0","0,9",Tunggal,Buah,PHKA2-2008
738,ER114,"Blewah, segar","8,2","0,8","0,2","0,9",Tunggal,Buah,TGMF-2006
739,FP001,"Ayam, ampela, goreng","9,9","32,3","11,2",-,Olahan,Daging,KZGMS-1993
740,FP002,"Ayam, usus, goreng","13,9","45,2","26,3",-,Olahan,Daging,KZGPI-1990
741,FP003,"Bebek, daging, goreng","4,5","24,0","20,7",-,Olahan,Daging,KZGMI-2001
742,FP004,"Buaya, daging, dendeng, mentah","30,8","49,6","4,8",-,Olahan,Daging,KZGMI-2001
743,FP005,Ham,"0,3","16,9","35,0",-,Olahan,Daging,DABM-1964
744,FP006,"Itik alabio, daging, dendeng, mentah","18,4","30,3","33,5",-,Olahan,Daging,KZGMI-2001
745,FP007,Kerupuk urat,"1,2","53,7","40,9",-,Olahan,Daging,KZGMI-2001
746,FP008,"Menjangan, daging, dendeng, mentah","22,7","55,8","2,0",-,Olahan,Daging,KZGMI-2001
747,FP009,"Punai, daging, goreng","4,4","26,2","11,3",-,Olahan,Daging,KZGMI-2001
748,FP010,"Rusa, daging, dendeng, mentah",-,"40,5","41,5",-,Olahan,Daging,KZGMI-2001
749,FP011,"Sapi, abon","59,3","18,0","10,6","7,5",Olahan,Daging,KZGPI-1990
750,FP012,"Sapi, abon, asli","38,6","14,6","16,1","2,5",Olahan,Daging,KZGPI-1990
751,FP013,"Sapi, daging, asap",-,"32,0","6,0",-,Olahan,Daging,DABM-1964
752,FP014,"Sapi, daging, dendeng, mentah",-,"55,0","9,0",-,Olahan,Daging,DABM-1964
753,FP015,"Sapi, daging, kornet",-,"16,0","25,0",-,Olahan,Daging,DABM-1964
754,FP016,"Sapi, daging, sosis (Worst)","2,3","14,5","42,3",-,Olahan,Daging,DABM-1964
755,FP017,"Sapi, hati, sosis (liverworst)","3,0","16,0","22,0","2,3",Olahan,Daging,DABM-1964
756,FP018,"Sapi, paru, dendeng, mentah","19,2","57,3","6,0",-,Olahan,Daging,KZGMI-2001
757,FP019,"Sapi, paru, goreng","14,5","23,9","12,7",-,Olahan,Daging,KZGMS-1993
758,FP020,"Ulat sagu, panggang","14,9","11,9","30,3","4,8",Olahan,Daging,KZGMI-2001
759,FP021,"Ayam goreng church texas, dada","0,4","35,2","20,6",-,Olahan,Daging,KZGPI-1990
760,FP022,"Ayam goreng church,texas paha","1,7","31,0","15,7",-,Olahan,Daging,KZGPI-1990
761,FP023,"Ayam goreng church texas, sayap","1,5","34,0","16,0",-,Olahan,Daging,KZGPI-1990
762,FP024,"Ayam goreng kalasan, paha","1,3","37,4","12,2",-,Olahan,Daging,KZGPI-1990
763,FP025,"Ayam goreng kentucky, dada","0,1","34,2","16,8",-,Olahan,Daging,KZGPI-1990
764,FP026,"Ayam goreng Kentucky, paha","1,1","32,1","16,1",-,Olahan,Daging,KZGPI-1990
765,FP027,"Ayam goreng Kentucky,sayap","1,6","35,9","15,2",-,Olahan,Daging,KZGPI-1990
766,FP028,Ayam goreng mbok berek dada,"1,0","39,2","13,6",-,Olahan,Daging,KZGPI-1990
767,FP029,"Ayam goreng pasundan, dada","0,7","37,9","9,0",-,Olahan,Daging,KZGPI-1990
768,FP030,"Ayam goreng pasundan, paha","0,3","33,1","11,4",-,Olahan,Daging,KZGPI-1990
769,FP031,"Ayam goreng pioneer, dada","0,6","37,4","14,7",-,Olahan,Daging,KZGPI-1990
770,FP032,"Ayam goreng sukabumi, dada","1,0","36,7","9,2",-,Olahan,Daging,KZGPI-1990
771,FP033,"Ayam goreng sukabumi, paha","0,5","35,7","14,3",-,Olahan,Daging,KZGPI-1990
772,FP034,"Ayam taliwang, masakan","2,7","18,2","20,1",-,Olahan,Daging,KZGMI-2001
773,FP035,"Babi hutan masak rica, masakan","0,2","24,6","16,3",-,Olahan,Daging,KZGMI-2001
774,FP036,Beef burger,"32,5","10,6","9,5","0,4",Olahan,Daging,KZGMS-1993
775,FP037,"Beef teriyaki, masakan","22,3","8,6","3,1","0,3",Olahan,Daging,KZGMS-1993
776,FP038,"Beef yakiniku, masakan","20,7","9,8","1,1","0,3",Olahan,Daging,KZGMS-1993
777,FP039,Brongkos,"12,6","15,3","3,3","1,0",Olahan,Daging,KZGPI-1990
778,FP040,"Bulgogi, masakan","1,4","11,4","4,9","1,7",Olahan,Daging,KZGMS-1993
779,FP041,"Chicken teriyaki, masakan","7,5","13,0","9,6","0,8",Olahan,Daging,KZGMS-1993
780,FP042,"Chikiniku, masakan","22,8","9,8","1,4","0,4",Olahan,Daging,KZGMS-1993
781,FP043,"Coto mangkasara, kuda, masakan","3,8","6,8","5,9",-,Olahan,Daging,KZGMI-2001
782,FP044,"Coto mangkasara, sapi, masakan","1,4","6,0","6,0",-,Olahan,Daging,KZGMI-2001
783,FP045,"Djibokum, masakan","40,9","10,0","2,3","0,1",Olahan,Daging,KZGMS-1993
784,FP046,"Empal (daging) Goreng, masakan","10,1","36,2","6,9",-,Olahan,Daging,KZGMS-1993
785,FP047,Gulai kambing,"6,2","4,2","9,4",-,Olahan,Daging,KZGMI-2001
786,FP048,"Jangang bintatoeng, masakan","16,5","5,3","2,2",-,Olahan,Daging,KZGMI-2001
787,FP049,"Kalio ayam, masakan","4,4","16,0","13,5",-,Olahan,Daging,KZGMS-1993
788,FP050,"Kalio jeroan, masakan","4,1","16,5","9,0",-,Olahan,Daging,KZGMS-1993
789,FP051,"Kalio kikil (tunjang), masakan","3,9","13,8","5,7",-,Olahan,Daging,KZGMS-1993
790,FP052,"Kalio otak, masakan","11,4","8,1","8,8",-,Olahan,Daging,KZGMS-1993
791,FP053,"Lawar babi, masakan","3,0","17,0","10,0",-,Olahan,Daging,KZGPI-1990
792,FP054,"Lawar penyu, masakan","7,6","23,0","1,5",-,Olahan,Daging,KZGPI-1990
793,FP055,"Lawara jangang, masakan","10,1","5,0","10,9",-,Olahan,Daging,KZGMI-2001
794,FP056,"Naan maran sapi, masakan","5,1","38,3","33,9",-,Olahan,Daging,KZGMI-2001
795,FP057,"Nasu likku, masakan","15,9","14,5","8,3",-,Olahan,Daging,KZGMI-2001
796,FP058,"Oramu ninahu ndawa olaho, masakan","4,3","13,7","5,0",-,Olahan,Daging,KZGMI-2001
797,FP059,"Paniki masak santan, masakan","7,2","28,5","35,2",-,Olahan,Daging,KZGMI-2001
798,FP060,"Pelolah manuk, masakan","4,4","19,7","13,6",-,Olahan,Daging,KZGMI-2001
799,FP061,"Rawon, masakan","4,0","5,4","2,5","0,3",Olahan,Daging,KZGPI-1990
800,FP062,"Rendang sapi, masakan","7,8","22,6","7,9",-,Olahan,Daging,KZGPI-1990
801,FP063,"RW, anjing, masakan","0,9","24,6","10,7",-,Olahan,Daging,KZGMI-2001
802,FP064,"Sate, penyu, masakan","13,3","22,5","3,5",-,Olahan,Daging,KZGPI-1990
803,FP065,"Sate pusut, masakan","13,6","12,9","18,6",-,Olahan,Daging,KZGMI-2001
804,FP066,"Penyu, serapah, masakan","2,2","13,1","12,2",-,Olahan,Daging,KZGPI-1990
805,FP067,"Sie reuboh, masakan","11,7","11,2","42,5",-,Olahan,Daging,KZGMI-2001
806,FP068,"Sop buntut, masakan","2,2","7,5","3,6",-,Olahan,Daging,KZGMS-1993
807,FP069,"Sop daging sapi, masakan","5,3","5,8","0,5",-,Olahan,Daging,KZGMS-1993
808,FP070,"Sop kaki sapi, masakan","3,7","9,0","1,9",-,Olahan,Daging,KZGMS-1993
809,FP071,"Sop kambing, masakan","1,1","5,5","0,8",-,Olahan,Daging,KZGMS-1993
810,FP072,"Sop konro, masakan","4,5","7,4","2,6",-,Olahan,Daging,KZGMI-2001
811,FP073,"Sop saudara, masakan","3,9","7,2","5,0",-,Olahan,Daging,KZGMI-2001
812,FP074,"Soto bandung, masakan","2,8","3,9","1,7","0,4",Olahan,Daging,KZGPI-1990
813,FP075,"Soto banjar, masakan","3,2","2,9","9,5",-,Olahan,Daging,KZGMI-2001
814,FP076,"Soto betawi, masakan","11,5","2,5","8,8","0,5",Olahan,Daging,KZGPI-1990
815,FP077,"Soto jeroan, masakan","1,4","11,8","4,3",-,Olahan,Daging,KZGMS-1993
816,FP078,"Soto kudus, masakan","1,8","2,6","2,3","0,2",Olahan,Daging,KZGPI-1990
817,FP079,"Soto madura, masakan","1,3","3,5","4,5",-,Olahan,Daging,KZGPI-1990
818,FP080,"Soto padang, masakan","11,0","5,9","6,6","0,7",Olahan,Daging,KZGPI-1990
819,FP081,"Soto pekalongan, masakan","5,1","3,0","6,8","0,3",Olahan,Daging,KZGPI-1990
820,FP082,"Soto pemalang, masakan","3,5","3,6","5,2",-,Olahan,Daging,KZGPI-1990
821,FP083,"Soto sukaraja, masakan","9,0","3,2","3,5","0,3",Olahan,Daging,KZGPI-1990
822,FP084,"Soto sulung, masakan",-,"2,3","8,5",-,Olahan,Daging,KZGPI-1990
823,FP085,"Sukiyaki, masakan","12,2","5,6","0,4","0,2",Olahan,Daging,KZGMS-1993
824,FP086,"Tedong pallu basa, masakan","2,8","10,4","3,4",-,Olahan,Daging,KZGMI-2001
825,FP087,"Tikus rica, masakan","3,8","18,8","18,5",-,Olahan,Daging,KZGMI-2001
826,FP088,"Tinoransa, masakan",-,"17,7","49,5",-,Olahan,Daging,KZGMI-2001
827,FR001,"Anak sapi, daging, gemuk, segar",-,"18,8","14,0",-,Tunggal,Daging,DABM-1964
828,FR002,"Anak sapi, daging, kurus, segar",-,"19,6","10,0",-,Tunggal,Daging,DABM-1964
829,FR003,"Anak sapi, daging, sedang, segar",-,"19,1","12,0",-,Tunggal,Daging,DABM-1964
830,FR004,"Angsa, daging, segar",-,"16,4","31,5",-,Tunggal,Daging,DABM-1964
831,FR005,"Ayam, daging, segar",-,"18,2","25,0",-,Tunggal,Daging,DABM-1964
832,FR006,"Ayam, dideh/darah, segar","0,7","13,8","1,9",-,Tunggal,Daging,DABM-1964
833,FR007,"Ayam, hati, segar","1,6","27,4","16,1",-,Tunggal,Daging,KZGMS-1993
834,FR008,"Babi, daging, gemuk,segar",-,"11,9","45,0",-,Tunggal,Daging,DABM-1964
835,FR009,"Babi, daging, kurus, segar",-,"14,1","35,0",-,Tunggal,Daging,DABM-1964
836,FR010,"Babi, ginjal, segar","0,8","16,3","4,6",-,Tunggal,Daging,DABM-1964
837,FR011,"Babi, hati, segar","1,7","19,7","4,8",-,Tunggal,Daging,DABM-1964
838,FR012,"Bebek (itik), daging, segar",-,"16,0","28,6",-,Tunggal,Daging,DABM-1964
839,FR013,"Bebek alabio, daging, segar","3,7","11,3","27,0",-,Tunggal,Daging,KZGMI-2001
