No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
221,BR010,"Gembili, ubi, segar","31,3","1,1","0,2","1,1",Tunggal,Umbi,KZGPI-1990
222,BR011,"Hofa/Ubi hutan, segar","29,5","1,2","0,5","3,4",Tunggal,Umbi,KZGMI-2001
223,BR012,"Kaburan, ubi, segar","32,2","1,0","0,2","0,7",Tunggal,Umbi,KZGPI-1990
224,BR013,"Kentang, segar","13,5","2,1","0,2","0,5",Tunggal,Umbi,KZGPI-1990
225,BR014,"Kentang hitam, segar","33,7","0,9","0,4","5,4",Tunggal,Umbi,DABM-1964
226,BR015,"Keribang, ubi, segar","29,8","1,3","1,1","0,6",Tunggal,Umbi,KZGPI-1990
227,BR016,"Ketela pohon/ singkong, segar","36,8","1,0","0,3","0,9",Tunggal,Umbi,KZGPI-1990
228,BR017,Lepok/Ubi rumput,"39,8","2,8","1,2","10,7",Tunggal,Umbi,KZGMI-2001
229,BR018,"Sagu aren, kering","85,6","0,6","1,1","0,3",Tunggal,Umbi,KZGPI-1990
230,BR019,"Sagu aren, segar","56,6","0,6","0,2","3,2",Tunggal,Umbi,KZGMI-2001
231,BR020,Sagu kasbi segar,"56,5","0,6","0,2","3,0",Tunggal,Umbi,KZGMI-2001
232,BR021,Sagu lempeng,"85,2","0,9","0,3","4,7",Tunggal,Umbi,KZGMI-2001
233,BR022,"Sagu singkong, kering","86,9","0,5","0,3",-,Tunggal,Umbi,DABM-1964
234,BR023,"Sente, talas, segar","84,7","0,7","0,2","6,6",Tunggal,Umbi,DABM-1964
235,BR024,"Suweg, talas, segar","17,2","1,4","0,1","1,4",Tunggal,Umbi,KZGPI-1990
236,BR025,"Talas bogor, segar","25,0","1,4","0,4","0,9",Tunggal,Umbi,KZGPI-1990
237,BR026,"Talas pontianak, segar","36,4","2,3","0,5","0,7",Tunggal,Umbi,KZGPI-1990
238,BR027,"Talas viqueque, segar","25,9","1,8","0,5","8,6",Tunggal,Umbi,KZGMI-2001
239,BR028,"Ubi jalar, kuning, segar","25,1","0,5","0,4","4,2",Tunggal,Umbi,KZGMI-2001
240,BR029,"Ubi jalar manis, segar","18,8","1,5","0,2","0,6",Tunggal,Umbi,KZGPI-1990
241,BR030,"Ubi jalar merah, segar","35,4","1,6","0,3","0,7",Tunggal,Umbi,KZGPI-1990
242,BR031,"Ubi jalar putih, segar","20,6","0,4","0,4","4,0",Tunggal,Umbi,KZGMI-2001
243,BR032,Ubi jalar tinta/ kemayung,"25,6","0,5","0,4","4,2",Tunggal,Umbi,KZGMI-2001
244,BR033,"Umbi Uwi, segar","82,3","2,8","0,5","2,6",Tunggal,Umbi,BKP
245,CP001,"Kacang belimbing (kecipir), rebus","17,5","16,9","8,8","4,8",Olahan,Kacang,KZGPI-1990
246,CP002,"Kacang bogor, goreng","58,9","12,7","23,2","1,2",Olahan,Kacang,KZGPI-1990
247,CP003,"Kacang bogor, rebus","27,1","7,7","2,8","2,0",Olahan,Kacang,KZGPI-1990
248,CP004,"Kacang gude, rebus","27,5","9,0","0,5","3,4",Olahan,Kacang,KZGPI-1990
249,CP005,"Kacang hijau, rebus","18,3","8,7","0,5","1,5",Olahan,Kacang,KZGPI-1990
250,CP006,"Kacang kedelai, goreng","22,9","32,2","37,7","7,6",Olahan,Kacang,KZGPI-1990
251,CP007,"Kacang kedelai, rebus","12,7","20,2","8,2","1,6",Olahan,Kacang,KZGPI-1990
252,CP008,"Kacang merah kering, rebus","28,2","10,3","0,9","2,6",Olahan,Kacang,KZGPI-l990
253,CP009,"Kacang merah segar, rebus","24,7","10,0","1,0","3,5",Olahan,Kacang,KZGPI-l990
254,CP010,"Kacang mete/biji jambu monyet, goreng","19,8","20,4","56,3","1,1",Olahan,Kacang,KZGPI-1990
